base,fluoride,substrate,yield
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCC1CCCCN1CCCc1ccccc1,31
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCC1CCCCN1CCCc1ccccc1,28
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC1CCCCN1CCCc1ccccc1,36
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,3
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,11
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[C@H]1C[C@@H](OCc2ccccc2)C1,83
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,O[C@H]1C[C@@H](OCc2ccccc2)C1,2
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,4
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,12
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[C@H]1C[C@@H](OCc2ccccc2)C1,79
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,5
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,12
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[C@H]1C[C@@H](OCc2ccccc2)C1,89
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,3
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,O[C@H]1C[C@@H](OCc2ccccc2)C1,1
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,12
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O[C@H]1C[C@@H](OCc2ccccc2)C1,22
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[C@H]1C[C@@H](OCc2ccccc2)C1,82
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,23
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,40
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,47
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,55
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,76
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,34
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,41
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,60
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,65
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,88
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,30
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,39
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,47
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,55
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,79
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,46
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,49
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,58
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,56
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,82
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,25
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,45
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,41
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,48
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,59
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,30
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,40
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,47
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,48
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,74
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,29
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,39
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,39
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,40
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,64
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,30
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,33
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,33
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,32
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,58
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,65
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,80
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,70
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](O)[C@H]2O1,70
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,0
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,1
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,3
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,7
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,91
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,2
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,3
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,7
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,14
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,105
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,2
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,2
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,6
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,12
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,97
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,8
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,5
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,23
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,30
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,106
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,1
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,1
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,5
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,12
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,40
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,2
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,3
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,6
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,12
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,48
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,2
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,2
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,5
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,11
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,50
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,2
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,2
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,9
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,11
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](O)CC1,45
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,4
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,6
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,7
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,7
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,8
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,5
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,7
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,9
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,7
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,11
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,1
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,4
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,6
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,6
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,12
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,2
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,3
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,6
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,5
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](O)CC1,13
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,17
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,35
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,38
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,40
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,23
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,18
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,26
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](O)C2,39
