reaction_idx,base,solvent,activator,nucleophile,yield
145,Cc1cccc(C)n1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,6.04
146,CN1CCOCC1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,29.45
147,CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,60.59
148,Cn1ccnc1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,60.58
149,Cc1cccc(C)n1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,55.21
150,CN1CCOCC1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,53.66
151,CCN(C(C)C)C(C)C,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,40.83
152,Cn1ccnc1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,48.22
153,Cc1cccc(C)n1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,27.33
154,CN1CCOCC1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,7.21
155,CCN(C(C)C)C(C)C,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,3.18
156,Cn1ccnc1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,58.03
157,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,20.31
158,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,57.54
159,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,45.52
160,Cn1ccnc1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,51.27
161,Cc1cccc(C)n1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,57.17
162,CN1CCOCC1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,46.34
163,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,24.79
164,Cn1ccnc1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,52.48
165,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,50.82
166,CN1CCOCC1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,56.95
167,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,45.28
168,Cn1ccnc1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,46.08
169,Cc1cccc(C)n1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,53.66
170,CN1CCOCC1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,60.73
171,CCN(C(C)C)C(C)C,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,56.97
172,Cn1ccnc1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,48.96
173,Cc1cccc(C)n1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,55.72
174,CN1CCOCC1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,60.81
175,CCN(C(C)C)C(C)C,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,32.68
176,Cn1ccnc1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,39.87
177,Cc1cccc(C)n1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,32.1
178,CN1CCOCC1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,55.84
179,CCN(C(C)C)C(C)C,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,CNS(=O)(=O)Cc1ccc(N)cc1,40.33
180,Cn1ccnc1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,59.41
181,Cc1cccc(C)n1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,58.61
182,CN1CCOCC1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,59.85
183,CCN(C(C)C)C(C)C,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,40.88
184,Cn1ccnc1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,59.19
185,Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,56.37
186,CN1CCOCC1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,58.21
187,CCN(C(C)C)C(C)C,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,27.34
188,Cn1ccnc1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,55.96
189,Cc1cccc(C)n1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,57.32
190,CN1CCOCC1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,54.48
191,CCN(C(C)C)C(C)C,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,35.12
192,Cn1ccnc1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,7.92
193,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.38
194,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,5.76
195,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,2.84
196,Cn1ccnc1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,6.82
197,Cc1cccc(C)n1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.71
198,CN1CCOCC1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,3.67
199,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.08
200,Cn1ccnc1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,12.04
201,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,2.64
202,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,17.19
203,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,25.39
204,Cn1ccnc1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,33.1
205,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,36.14
206,CN1CCOCC1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,28.33
207,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,5.4
208,Cn1ccnc1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,33.9
209,Cc1cccc(C)n1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,5.21
210,CN1CCOCC1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,33.67
211,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.79
212,Cn1ccnc1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,53.42
213,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,4.56
214,CN1CCOCC1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,-0.49
215,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.0
216,Cn1ccnc1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,33.42
217,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.65
218,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,6.35
219,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,14.16
220,Cn1ccnc1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,20.52
221,Cc1cccc(C)n1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,6.0
222,CN1CCOCC1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,21.81
223,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,32.9
224,Cn1ccnc1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,30.35
225,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.89
226,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,25.59
227,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,51.09
228,Cn1ccnc1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,15.26
229,Cc1cccc(C)n1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,-0.0
230,CN1CCOCC1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.41
231,CCN(C(C)C)C(C)C,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,10.67
232,Cn1ccnc1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,18.15
233,Cc1cccc(C)n1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,1.23
234,CN1CCOCC1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,5.34
235,CCN(C(C)C)C(C)C,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,45.16
236,Cn1ccnc1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.78
237,Cc1cccc(C)n1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,4.7
238,CN1CCOCC1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.16
239,CCN(C(C)C)C(C)C,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,30.27
240,Cn1ccnc1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.37
241,Cc1cccc(C)n1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.44
242,CN1CCOCC1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,54.94
243,CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,10.8
244,Cn1ccnc1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,35.61
245,Cc1cccc(C)n1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.58
246,CN1CCOCC1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,34.73
247,CCN(C(C)C)C(C)C,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,1.53
248,Cn1ccnc1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,16.71
249,Cc1cccc(C)n1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,17.48
250,CN1CCOCC1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,7.22
251,CCN(C(C)C)C(C)C,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,4.18
252,Cn1ccnc1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,45.34
253,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,1.06
254,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,19.26
255,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,24.94
256,Cn1ccnc1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,42.06
257,Cc1cccc(C)n1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,20.36
258,CN1CCOCC1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,27.95
259,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,11.44
260,Cn1ccnc1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,47.75
261,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,18.53
262,CN1CCOCC1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,19.49
263,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,46.85
264,Cn1ccnc1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,23.11
265,Cc1cccc(C)n1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,28.27
266,CN1CCOCC1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,49.67
267,CCN(C(C)C)C(C)C,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,54.15
268,Cn1ccnc1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,52.2
269,Cc1cccc(C)n1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,34.42
270,CN1CCOCC1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,51.47
271,CCN(C(C)C)C(C)C,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,18.66
272,Cn1ccnc1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,30.62
273,Cc1cccc(C)n1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,19.58
274,CN1CCOCC1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,50.28
275,CCN(C(C)C)C(C)C,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,25.76
276,Cn1ccnc1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,23.06
277,Cc1cccc(C)n1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,2.62
278,CN1CCOCC1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,9.53
279,CCN(C(C)C)C(C)C,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,-0.8
280,Cn1ccnc1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,32.74
281,Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,3.82
282,CN1CCOCC1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,18.23
283,CCN(C(C)C)C(C)C,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,10.25
284,Cn1ccnc1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,36.52
285,Cc1cccc(C)n1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,35.48
286,CN1CCOCC1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,37.96
287,CCN(C(C)C)C(C)C,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,20.92
288,Cn1ccnc1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,4.56
289,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,2.75
290,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,1.59
291,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,1.17
292,Cn1ccnc1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,6.71
